"","cat.1_vial.1","cat.2_vial.1","cat.3_vial.1","cat.4_vial.1","cat.5_vial.1","cat.6_vial.1","cat.7_vial.1","cat.8_vial.1","cat.1_vial.2","cat.2_vial.2","cat.3_vial.2","cat.4_vial.2","cat.5_vial.2","cat.6_vial.2","cat.7_vial.2","cat.8_vial.2","cat.1_vial.3","cat.2_vial.3","cat.3_vial.3","cat.4_vial.3","cat.5_vial.3","cat.6_vial.3","cat.7_vial.3","cat.8_vial.3"
"met344",0.7942,0.7102,1.134,1.1562,1.1088,1.0573,0.4647,0.985,0.8273,0.7269,0.9337,1.3694,1.1043,1.0773,0.4149,0.9814,0.8366,0.8571,1.0973,1.2974,0.8723,1.1332,0.5434,1.015
"met345",0.9783,0.624,0.9889,0.7249,1.0369,1.0277,1.1613,1.2245,1.4184,0.6625,0.8358,0.9692,0.919,1.1436,1.1028,0.9664,0.9661,0.654,0.9867,0.8242,0.9321,1.0729,1.2966,1.1636
"met346",0.4924,0.4924,1.8168,0.7874,0.4924,0.4924,1.9888,1.449,1.0188,0.4924,0.9115,0.4924,0.4924,0.4924,0.6946,1.4584,0.5976,0.5339,0.4924,0.4924,0.4983,0.4924,1,1.2133
"met347",0.8379,0.7607,0.813,0.5928,1.1757,1.1193,2.0176,1.148,0.9784,0.8672,1.0065,0.7321,0.974,1.2797,2.4154,0.9854,0.9591,0.611,0.9417,1.0803,1.0488,1.3909,1.9035,1.3537
"met348",0.989,0.9621,0.9529,0.9826,1.0273,1.218,1.0734,1.1678,1.0206,1.0866,1.002,1.0795,1.0094,1.152,1.0081,1.0485,0.8583,0.8767,0.8835,0.8538,0.8902,1.1654,1.1037,0.998
"met349",0.8575,1.0488,1.003,0.8192,1.02,1.135,0.6939,1.0203,0.937,1.0686,1.0966,0.846,0.9375,1.1272,0.63,0.9602,0.8607,1.1238,0.997,0.8279,0.9396,1.1167,0.7622,1.0158
"met350",1.1728,0.1836,0.186,0.1836,0.1836,1.1219,0.9162,0.5741,0.9057,0.2984,0.1836,0.1836,0.2333,1.0054,1.244,0.8172,0.9088,0.1836,0.1836,0.1836,0.3175,1,1.301,0.6636
"met351",1.1897,0.7196,0.955,1.0121,0.8305,1.5473,1.1123,0.5651,1.46,0.7955,0.9879,1.2694,0.751,1.6541,1.1426,0.6202,1.05,0.7129,0.8227,1.1053,0.6556,1.4333,1.048,0.5402
"met352",0.9517,1.0204,0.9586,0.858,1.1161,1.1255,2.3881,0.8928,0.8144,1.3349,0.9284,0.978,0.9298,1.0793,2.4998,0.9366,0.9199,1.1703,0.8855,1,0.8692,1.0985,2.4222,1.0508
"met353",0.7305,0.9267,1.0366,0.7217,1.0073,1.1947,2.9569,1.0814,0.7135,0.8648,0.9312,0.703,1.0559,1.2749,2.5559,0.9459,0.7308,0.9927,0.98,0.6883,1.0644,1.1982,2.7729,1.058
"met354",0.7262,0.8012,1.0515,0.931,0.8026,1.3223,1.351,1.4608,0.9111,1.1732,1.447,0.8532,0.6404,0.9986,0.8316,0.9444,0.7421,0.9068,0.8628,1.123,0.831,1.2336,1.1189,1.3718
